f1_id,f2_id,f1_name,f2_name,weight_class,f1_knockdowns,f2_knockdowns,f1_sig_strike_atts,f1_sig_strikes,f2_sig_strike_atts,f2_sig_strikes,f1_tot_strike_atts,f1_tot_strikes,f2_tot_strike_atts,f2_tot_strikes,f1_takedown_atts,f1_takedowns,f2_takedown_atts,f2_takedowns,f1_submissions,f2_submissions,f1_reversals,f2_reversals,f1_ctrl_time,f2_ctrl_time,f1_head_strike_atts,f1_head_strikes,f2_head_strike_atts,f2_head_strikes,f1_body_strike_atts,f1_body_strikes,f2_body_strike_atts,f2_body_strikes,f1_leg_strike_atts,f1_leg_strikes,f2_leg_strike_atts,f2_leg_strikes,f1_dist_strike_atts,f1_dist_strikes,f2_dist_strike_atts,f2_dist_strikes,f1_clinch_atts,f1_clinchs,f2_clinch_atts,f2_clinchs,f1_ground_atts,f1_grounds,f2_ground_atts,f2_grounds,total_fight_time,result,fights_url,event_url
1270,656,Steve Garcia,SeungWoo Choi,Featherweight,1,0,27,15,15,9,34,18,16,9,1,0,0,0,0,0,0,0,37.0,0.0,19,10,13,7,5,2,0,0,3,3,2,2,19,9,15,9,2,1,0,0,6,5,0,0,,1270,http://www.ufcstats.com/fight-details/120ec60ad18cf6c5,http://www.ufcstats.com/event-details/c11036da9162cb5f
655,73,Dooho Choi,Bill Algeo,Featherweight,0,0,35,21,49,17,47,32,74,38,3,2,3,2,3,0,0,1,93.0,189.0,28,15,36,11,3,3,5,3,4,3,8,3,30,17,45,14,4,3,2,2,1,1,2,1,,655,http://www.ufcstats.com/fight-details/ec8bc554a0646638,http://www.ufcstats.com/event-details/c11036da9162cb5f
1622,1994,Kurt Holobaugh,Kaynan Kruschewsky,Lightweight,0,0,171,92,156,89,275,171,195,115,4,1,3,3,0,2,1,0,321.0,167.0,131,58,120,61,30,25,35,27,10,9,1,1,141,74,114,53,30,18,33,28,0,0,9,8,,1622,http://www.ufcstats.com/fight-details/9eaa33f874bbb999,http://www.ufcstats.com/event-details/c11036da9162cb5f
2095,121,JeongYeong Lee,Hyder Amil,Featherweight,0,0,10,4,63,42,10,4,63,42,0,0,0,0,0,0,0,0,4.0,0.0,9,3,54,37,1,1,3,2,0,0,6,3,10,4,63,42,0,0,0,0,0,0,0,0,,121,http://www.ufcstats.com/fight-details/6e6567a98ea78891,http://www.ufcstats.com/event-details/c11036da9162cb5f
3903,2953,Mohammed Usman,Thomas Petersen,Heavyweight,0,0,185,63,138,76,185,63,164,98,1,0,5,2,0,0,0,0,0.0,61.0,151,44,117,58,33,19,16,13,1,0,5,5,181,61,134,72,4,2,3,3,0,0,1,1,,2953,http://www.ufcstats.com/fight-details/836e9bc5c1f6acd3,http://www.ufcstats.com/event-details/c11036da9162cb5f
2105,1742,Amanda Lemos,Virna Jandiroba,Strawweight,0,0,9,2,8,2,12,5,27,20,0,0,5,1,1,4,1,1,51.0,387.0,8,2,7,2,0,0,0,0,1,0,1,0,8,1,8,2,0,0,0,0,1,1,0,0,,1742,http://www.ufcstats.com/fight-details/4a00db8aeff200a2,http://www.ufcstats.com/event-details/c11036da9162cb5f
3005,3309,Santiago Ponzinibbio,Muslim Salikhov,Welterweight,0,0,117,41,121,46,118,42,146,69,5,2,5,0,0,0,0,0,149.0,0.0,102,31,87,20,7,5,27,20,8,5,7,6,116,40,120,45,1,1,1,1,0,0,0,0,,3309,http://www.ufcstats.com/fight-details/dff8e4ef87d69516,http://www.ufcstats.com/event-details/66e0a70352fef46a
390,2177,Gabriel Bonfim,Ange Loosa,Welterweight,0,0,225,101,153,52,232,106,166,60,1,1,13,4,0,0,0,0,10.0,155.0,182,64,125,37,38,32,19,7,5,5,9,8,204,85,144,45,20,16,2,2,1,0,7,5,,390,http://www.ufcstats.com/fight-details/dad759ec50508147,http://www.ufcstats.com/event-details/66e0a70352fef46a
1752,1954,Jasmine Jasudavicius,Fatima Kline,Flyweight,0,0,89,40,81,39,165,93,94,48,6,4,1,1,1,0,0,0,468.0,52.0,65,25,73,32,18,9,6,5,6,6,2,2,70,27,74,33,6,4,4,3,13,9,3,3,,1752,http://www.ufcstats.com/fight-details/582afc25875911d1,http://www.ufcstats.com/event-details/66e0a70352fef46a
3535,2787,Ricky Simon,Vinicius Oliveira,Bantamweight,0,0,96,42,237,96,98,44,237,96,11,2,1,1,0,0,0,0,31.0,16.0,76,26,184,53,16,12,24,20,4,4,29,23,93,40,234,94,3,2,2,1,0,0,1,1,,2787,http://www.ufcstats.com/fight-details/bbe3d8a37a276511,http://www.ufcstats.com/event-details/f3743d8ef5dde970
3571,938,Anthony Smith,Roman Dolidze,Heavyweight,0,0,93,51,185,100,93,51,188,103,0,0,3,1,0,0,0,0,0.0,213.0,67,27,135,61,4,4,16,12,22,20,34,27,93,51,132,65,0,0,4,3,0,0,49,32,,938,http://www.ufcstats.com/fight-details/bf878c083a6b30ad,http://www.ufcstats.com/event-details/f3743d8ef5dde970
1686,2180,Dan Ige,Diego Lopes,Catch Weight Bout,0,0,77,42,100,49,103,67,143,90,1,0,3,1,0,1,0,0,99.0,246.0,67,34,74,32,5,4,14,8,5,4,12,9,53,24,85,38,4,3,14,10,20,15,1,1,,2180,http://www.ufcstats.com/fight-details/fc8ad0c7fc70dde7,http://www.ufcstats.com/event-details/f3743d8ef5dde970
2931,3030,Alex Pereira,Jiri Prochazka,Heavyweight,2,0,50,38,25,7,61,49,25,7,0,0,0,0,0,0,0,0,3.0,71.0,32,21,20,4,9,8,4,2,9,9,1,1,31,21,24,6,7,7,1,1,12,10,0,0,,2931,http://www.ufcstats.com/fight-details/bca5d01f8775f852,http://www.ufcstats.com/event-details/f3743d8ef5dde970
493,648,Mayra Bueno Silva,Macy Chiasson,Bantamweight,0,0,59,46,85,50,66,53,99,64,4,0,1,1,0,0,0,0,79.0,108.0,34,24,59,27,22,20,16,13,3,2,10,10,32,21,52,22,25,23,23,18,2,2,10,10,,648,http://www.ufcstats.com/fight-details/a571c622ab89b3d9,http://www.ufcstats.com/event-details/f3743d8ef5dde970
1832,3502,Charles Jourdain,Jean Silva,Featherweight,0,2,46,23,55,34,48,24,56,35,7,3,0,0,0,0,0,0,77.0,9.0,26,6,47,26,14,11,7,7,6,6,1,1,39,17,31,14,5,5,19,16,2,1,5,4,,3502,http://www.ufcstats.com/fight-details/2b7883b304b3df1c,http://www.ufcstats.com/event-details/f3743d8ef5dde970
4038,3190,Michelle Waterson-Gomez,Gillian Robertson,Strawweight,0,0,52,21,105,77,75,41,156,122,1,1,6,2,0,2,0,0,19.0,754.0,48,19,94,67,3,1,9,9,1,1,2,1,37,9,24,10,4,3,0,0,11,9,81,67,,3190,http://www.ufcstats.com/fight-details/2517029ff9c1a1a2,http://www.ufcstats.com/event-details/f3743d8ef5dde970
3863,1574,Rei Tsuruya,Carlos Hernandez,Flyweight,0,0,32,17,32,16,83,62,45,26,8,3,2,1,0,0,0,0,379.0,269.0,30,15,23,7,2,2,5,5,0,0,4,4,12,2,23,8,3,2,5,4,17,13,4,4,,3863,http://www.ufcstats.com/fight-details/7856621db043423d,http://www.ufcstats.com/event-details/f3743d8ef5dde970
172,488,Andrei Arlovski,Martin Buday,Heavyweight,0,0,119,74,84,54,147,98,199,165,1,0,0,0,0,0,0,0,298.0,160.0,69,34,51,24,33,26,27,25,17,14,6,5,97,54,48,23,22,20,36,31,0,0,0,0,,488,http://www.ufcstats.com/fight-details/3bbc222130d9dac7,http://www.ufcstats.com/event-details/f3743d8ef5dde970
3723,1149,Cub Swanson,Andre Fili,Featherweight,0,0,111,62,147,67,140,90,151,70,2,0,11,2,0,0,0,0,29.0,230.0,86,43,118,49,11,7,22,13,14,12,7,5,101,53,126,52,10,9,21,15,0,0,0,0,,1149,http://www.ufcstats.com/fight-details/08489fdfb56ee19c,http://www.ufcstats.com/event-details/f3743d8ef5dde970
2232,2839,Ian Machado Garry,Michael Page,Welterweight,0,0,39,19,38,21,101,65,74,52,5,2,0,0,2,0,0,0,449.0,112.0,26,12,28,15,7,3,5,4,6,4,5,2,25,9,34,19,7,5,1,0,7,5,3,2,,2232,http://www.ufcstats.com/fight-details/fbf77262d8da342b,http://www.ufcstats.com/event-details/f3743d8ef5dde970
3751,1293,Payton Talbott,Yanis Ghemmouri,Bantamweight,1,0,13,13,2,1,13,13,2,1,0,0,0,0,0,0,0,0,1.0,0.0,12,12,1,0,0,0,0,0,1,1,1,1,4,4,2,1,0,0,0,0,9,9,0,0,,3751,http://www.ufcstats.com/fight-details/5f8a92f10e5451ce,http://www.ufcstats.com/event-details/f3743d8ef5dde970
3045,270,Joe Pyfer,Marc-Andre Barriault,Middleweight,1,0,10,8,5,0,10,8,5,0,0,0,0,0,0,0,0,0,0.0,0.0,5,4,3,0,2,1,1,0,3,3,1,0,9,7,5,0,0,0,0,0,1,1,0,0,,3045,http://www.ufcstats.com/fight-details/daa6b47be304ec86,http://www.ufcstats.com/event-details/f3743d8ef5dde970
1279,3211,Kelvin Gastelum,Daniel Rodriguez,Middleweight,0,0,238,112,265,127,250,123,273,132,4,4,0,0,0,0,0,0,167.0,0.0,193,77,214,82,20,14,41,36,25,21,10,9,226,105,265,127,0,0,0,0,12,7,0,0,,1279,http://www.ufcstats.com/fight-details/8ddd53a7ed3754d5,http://www.ufcstats.com/event-details/b12a1d19ee383b7c
2640,2151,Muhammad Naimov,Felipe Lima,Featherweight,0,0,85,30,70,37,120,55,98,62,5,1,2,1,0,1,0,0,156.0,66.0,60,14,37,10,15,6,19,14,10,10,14,13,72,26,60,31,7,2,10,6,6,2,0,0,,2151,http://www.ufcstats.com/fight-details/8bd5f20f49434c65,http://www.ufcstats.com/event-details/b12a1d19ee383b7c
2258,3857,Shara Magomedov,Antonio Trocoli,Middleweight,1,0,108,82,34,16,136,108,77,39,0,0,7,0,0,0,0,0,17.0,282.0,52,28,22,8,24,22,10,7,32,32,2,1,94,69,29,12,14,13,5,4,0,0,0,0,,2258,http://www.ufcstats.com/fight-details/fbbf5391ea25521b,http://www.ufcstats.com/event-details/b12a1d19ee383b7c
1105,815,Rinat Fakhretdinov,Nicolas Dalby,Welterweight,0,0,134,68,134,66,173,99,195,123,11,5,4,0,0,0,0,0,377.0,237.0,113,53,96,36,13,10,33,25,8,5,5,5,109,49,95,38,25,19,39,28,0,0,0,0,,1105,http://www.ufcstats.com/fight-details/de1acb6803ab3f14,http://www.ufcstats.com/event-details/b12a1d19ee383b7c
1495,1369,Nasrat Haqparast,Jared Gordon,Lightweight,0,0,316,146,299,141,330,156,338,170,0,0,13,0,0,0,0,0,3.0,169.0,288,122,275,125,27,23,19,12,1,1,5,4,298,133,274,128,10,8,25,13,8,5,0,0,,1495,http://www.ufcstats.com/fight-details/774fb0c0c1c2bc6a,http://www.ufcstats.com/event-details/b12a1d19ee383b7c
4004,2764,Johnny Walker,Volkan Oezdemir,Heavyweight,0,2,33,15,67,37,33,15,67,37,0,0,0,0,0,0,0,0,0.0,6.0,20,6,49,22,6,3,12,9,7,6,6,6,33,15,59,33,0,0,4,2,0,0,4,2,,2764,http://www.ufcstats.com/fight-details/9d5f562e0572058c,http://www.ufcstats.com/event-details/b12a1d19ee383b7c
2895,3991,Sergei Pavlovich,Alexander Volkov,Heavyweight,0,0,134,46,159,83,134,46,160,83,1,0,0,0,0,0,0,0,15.0,0.0,120,38,89,35,13,7,28,16,1,1,42,32,134,46,159,83,0,0,0,0,0,0,0,0,,3991,http://www.ufcstats.com/fight-details/cd3bb8a2824fbf22,http://www.ufcstats.com/event-details/b12a1d19ee383b7c
4074,78,Robert Whittaker,Ikram Aliskerov,Middleweight,1,0,21,14,15,5,21,14,15,5,0,0,0,0,0,0,0,0,3.0,0.0,19,12,10,3,0,0,4,1,2,2,1,1,18,12,15,5,0,0,0,0,3,2,0,0,,4074,http://www.ufcstats.com/fight-details/eba46dbf9cdd83c0,http://www.ufcstats.com/event-details/b12a1d19ee383b7c
1867,1241,Kyung Ho Kang,Muin Gafurov,Bantamweight,0,0,35,12,71,47,152,119,144,110,11,3,3,1,0,0,0,1,296.0,398.0,28,8,45,27,4,2,14,10,3,2,12,10,33,11,47,25,1,0,6,6,1,1,18,16,,1241,http://www.ufcstats.com/fight-details/8db5cf5df713a7e9,http://www.ufcstats.com/event-details/b12a1d19ee383b7c
1238,3137,Magomed Gadzhiyasulov,Brendson Ribeiro,Heavyweight,0,0,39,26,35,17,135,93,51,29,5,5,6,3,0,1,0,1,599.0,116.0,25,15,19,6,4,4,4,4,10,7,12,7,23,12,29,13,4,4,5,3,12,10,1,1,,1238,http://www.ufcstats.com/fight-details/0ac2da3dbaf2fce2,http://www.ufcstats.com/event-details/b12a1d19ee383b7c
4134,2097,Xiao Long,ChangHo Lee,Bantamweight,0,0,103,68,119,84,187,135,228,173,5,2,9,2,0,0,0,0,379.0,108.0,49,27,47,28,46,33,68,54,8,8,4,2,44,26,33,18,59,42,86,66,0,0,0,0,,2097,http://www.ufcstats.com/fight-details/c0d6feef69ccb330,http://www.ufcstats.com/event-details/b12a1d19ee383b7c
1840,1127,Carli Judice,Gabriella Fernandes,Flyweight,0,0,323,169,234,119,345,186,245,126,4,2,8,2,0,0,0,0,64.0,160.0,251,110,198,89,55,42,25,21,17,17,11,9,297,149,200,95,26,20,34,24,0,0,0,0,,1127,http://www.ufcstats.com/fight-details/19ef5890b20f903a,http://www.ufcstats.com/event-details/9c5828c6fd9dc948
1961,3002,Josefine Knutsson,Julia Polastri,Strawweight,0,0,244,124,122,64,271,145,152,86,0,0,3,3,0,1,1,0,43.0,274.0,173,68,83,38,43,31,29,19,28,25,10,7,220,109,91,43,19,12,6,3,5,3,25,18,,1961,http://www.ufcstats.com/fight-details/06713afc60301c0c,http://www.ufcstats.com/event-details/9c5828c6fd9dc948
2940,3741,Alex Perez,Tatsuro Taira,Flyweight,0,0,77,41,66,31,81,45,78,43,1,1,2,2,0,0,0,0,24.0,48.0,49,22,57,25,13,10,4,2,15,9,5,4,64,31,59,28,13,10,7,3,0,0,0,0,,3741,http://www.ufcstats.com/fight-details/7f14be4e45bca6bd,http://www.ufcstats.com/event-details/9c5828c6fd9dc948
953,3828,Rayanne dos Santos,Puja Tomar,Strawweight,0,0,150,84,199,95,152,86,203,99,3,0,0,0,0,0,0,0,49.0,11.0,92,47,112,29,46,29,59,50,12,8,28,16,144,79,194,94,6,5,5,1,0,0,0,0,,3828,http://www.ufcstats.com/fight-details/b20640f9b2634de1,http://www.ufcstats.com/event-details/cba3a2dfbc06ce79
2310,3109,Julian Marquez,Zach Reese,Middleweight,0,1,1,1,9,6,1,1,9,6,0,0,0,0,0,0,0,0,0.0,0.0,0,0,8,5,0,0,1,1,1,1,0,0,1,1,4,2,0,0,0,0,0,0,5,4,,3109,http://www.ufcstats.com/fight-details/3b12094dd48c2dc5,http://www.ufcstats.com/event-details/cba3a2dfbc06ce79
2272,2999,Islam Makhachev,Dustin Poirier,Lightweight,0,0,156,88,183,74,222,147,218,104,16,5,0,0,2,0,0,0,623.0,30.0,148,81,159,53,7,7,20,18,1,0,4,3,136,71,157,51,14,11,26,23,6,6,0,0,,2272,http://www.ufcstats.com/fight-details/1a0031e2072f21b6,http://www.ufcstats.com/event-details/6e4acc2c115215b5
2336,2726,Victor Martinez,Tom Nolan,Lightweight,1,0,26,18,64,33,29,20,72,41,1,0,0,0,0,0,0,0,48.0,2.0,12,6,38,14,9,7,20,13,5,5,6,6,23,16,58,29,1,1,1,0,2,1,5,4,,2726,http://www.ufcstats.com/fight-details/b5df5a0a0bda9256,http://www.ufcstats.com/event-details/46baf0f57edfa4df
886,977,Vanessa Demopoulos,Emily Ducote,Strawweight,0,0,293,109,214,143,311,126,218,147,3,0,0,0,0,0,0,0,0.0,46.0,250,76,150,86,25,18,26,22,18,15,38,35,289,106,211,140,4,3,0,0,0,0,3,3,,886,http://www.ufcstats.com/fight-details/069df63733dcf697,http://www.ufcstats.com/event-details/46baf0f57edfa4df
3966,1281,Tamires Vidal,Melissa Gatto,Bantamweight,0,0,29,15,52,30,66,50,163,120,0,0,2,2,1,1,0,0,53.0,418.0,21,7,30,13,2,2,20,16,6,6,2,1,28,14,40,22,1,1,5,1,0,0,7,7,,1281,http://www.ufcstats.com/fight-details/3aea9c60d25fc93b,http://www.ufcstats.com/event-details/46baf0f57edfa4df
3726,3824,Oumar Sy,Tuco Tokkos,Heavyweight,0,0,2,0,4,3,8,1,5,4,3,2,0,0,1,0,0,0,210.0,0.0,2,0,1,1,0,0,1,0,0,0,2,2,2,0,4,3,0,0,0,0,0,0,0,0,,3726,http://www.ufcstats.com/fight-details/68ee31dd0853cdc9,http://www.ufcstats.com/event-details/46baf0f57edfa4df
3216,585,Piera Rodriguez,Ariane Carnelossi,Strawweight,1,0,81,40,49,16,102,51,89,46,2,1,0,0,0,0,0,0,233.0,0.0,73,34,43,13,8,6,2,2,0,0,4,1,60,22,43,12,13,11,6,4,8,7,0,0,,585,http://www.ufcstats.com/fight-details/28c6de749d0d0e9d,http://www.ufcstats.com/event-details/46baf0f57edfa4df
1374,427,Themba Gorimbo,Ramiz Brahimaj,Welterweight,0,0,52,43,6,3,134,110,20,15,6,5,8,1,0,0,1,0,613.0,224.0,13,9,2,0,35,31,4,3,4,3,0,0,10,6,2,0,38,35,4,3,4,2,0,0,,1374,http://www.ufcstats.com/fight-details/20220ace492af368,http://www.ufcstats.com/event-details/46baf0f57edfa4df
2257,111,Abus Magomedov,Warlley Alves,Middleweight,0,0,44,22,38,16,168,98,39,17,7,6,0,0,0,0,0,0,716.0,37.0,32,15,26,7,11,7,4,4,1,0,8,5,27,9,37,16,2,2,1,0,15,11,0,0,,2257,http://www.ufcstats.com/fight-details/fc2bdd67c1a056a4,http://www.ufcstats.com/event-details/46baf0f57edfa4df
2992,1595,Luana Pinheiro,Angela Hill,Strawweight,0,0,60,17,79,28,77,25,91,39,7,1,6,2,0,1,0,1,4.0,186.0,51,11,64,19,6,3,15,9,3,3,0,0,54,15,71,21,6,2,3,3,0,0,5,4,,1595,http://www.ufcstats.com/fight-details/2a43df4cc047a28b,http://www.ufcstats.com/event-details/46baf0f57edfa4df
44,3204,Alatengheili,Kleydson Rodrigues,Bantamweight,0,0,59,18,88,37,183,107,126,70,4,3,1,0,0,0,0,0,496.0,30.0,50,14,55,15,8,3,15,10,1,1,18,12,53,15,88,37,0,0,0,0,6,3,0,0,,44,http://www.ufcstats.com/fight-details/63605e9f3e71d738,http://www.ufcstats.com/event-details/46baf0f57edfa4df
4153,3316,Adrian Yanez,Vinicius Salvador,Bantamweight,1,0,56,36,34,17,58,36,34,17,0,0,0,0,0,0,0,0,17.0,0.0,45,27,20,6,2,1,6,6,9,8,8,5,28,15,34,17,0,0,0,0,28,21,0,0,,4153,http://www.ufcstats.com/fight-details/5dcade01fc840da6,http://www.ufcstats.com/event-details/46baf0f57edfa4df
4093,1513,Khaos Williams,Carlston Harris,Welterweight,1,0,20,12,30,14,20,12,30,14,0,0,0,0,0,0,0,0,1.0,0.0,9,5,25,10,4,2,2,1,7,5,3,3,19,11,30,14,0,0,0,0,1,1,0,0,,4093,http://www.ufcstats.com/fight-details/85ddb65429a9d517,http://www.ufcstats.com/event-details/46baf0f57edfa4df
1331,4037,Billy Ray Goff,Trey Waters,Welterweight,0,0,249,116,225,96,265,129,236,107,12,1,1,0,0,1,0,1,246.0,0.0,176,64,211,88,33,18,13,7,40,34,1,1,236,108,223,94,13,8,2,2,0,0,0,0,,4037,http://www.ufcstats.com/fight-details/ec5d705232983b87,http://www.ufcstats.com/event-details/5dfe71ade71f3a4b
751,398,Alessandro Costa,Kevin Borjas,Flyweight,1,0,86,46,56,18,104,60,56,18,2,0,2,0,0,0,0,0,43.0,0.0,66,32,45,12,5,2,10,5,15,12,1,1,55,25,55,18,3,1,1,0,28,20,0,0,,751,http://www.ufcstats.com/fight-details/fe0f1b418e6d3ecb,http://www.ufcstats.com/event-details/981ab7a0576f76a0
439,2803,Elves Brener,Myktybek Orolbai,Lightweight,0,1,91,48,119,65,125,79,138,83,6,3,17,5,0,0,2,0,175.0,432.0,61,24,103,52,12,7,11,10,18,17,5,3,75,35,76,32,3,2,3,3,13,11,40,30,,2803,http://www.ufcstats.com/fight-details/8a121f9c48f3773c,http://www.ufcstats.com/event-details/981ab7a0576f76a0
391,2978,Ismael Bonfim,Vinc Pichel,Lightweight,0,0,216,111,142,61,217,112,147,64,2,1,2,1,0,0,0,0,30.0,29.0,176,80,93,26,20,13,24,14,20,18,25,21,209,107,140,60,4,2,1,0,3,2,1,1,,391,http://www.ufcstats.com/fight-details/89db7aca37b87711,http://www.ufcstats.com/event-details/981ab7a0576f76a0
768,400,Paul Craig,Caio Borralho,Middleweight,0,1,48,22,50,36,50,22,57,43,6,0,0,0,0,0,0,0,30.0,19.0,19,4,41,29,23,12,5,3,6,6,4,4,48,22,49,35,0,0,1,1,0,0,0,0,,400,http://www.ufcstats.com/fight-details/2db0998b24c11ea0,http://www.ufcstats.com/event-details/981ab7a0576f76a0
2857,1062,Alexandre Pantoja,Steve Erceg,Flyweight,0,0,242,125,212,111,262,143,233,129,19,9,6,1,0,0,0,1,495.0,32.0,184,75,181,87,39,33,23,16,19,17,8,8,207,96,207,107,16,14,4,3,19,15,1,1,,2857,http://www.ufcstats.com/fight-details/3f419fce8ba8aa0e,http://www.ufcstats.com/event-details/981ab7a0576f76a0
3486,450,Jack Shore,Joanderson Brito,Featherweight,0,0,40,24,56,30,47,31,86,57,2,0,1,1,0,0,0,0,48.0,309.0,32,16,29,4,7,7,4,4,1,1,23,22,25,10,46,20,15,14,10,10,0,0,0,0,,450,http://www.ufcstats.com/fight-details/c456b1950208e0b2,http://www.ufcstats.com/event-details/981ab7a0576f76a0
60,2332,Jose Aldo,Jonathan Martinez,Bantamweight,0,0,139,77,118,52,174,101,151,80,2,1,2,0,0,0,0,0,105.0,80.0,96,41,96,36,33,26,15,9,10,10,7,7,132,70,116,50,5,5,1,1,2,2,1,1,,60,http://www.ufcstats.com/fight-details/b3d88eaea611a4a8,http://www.ufcstats.com/event-details/981ab7a0576f76a0
2293,3622,Marnic Mann,Ketlen Souza,Strawweight,0,0,77,31,116,80,159,111,132,93,5,2,2,1,1,0,1,1,174.0,191.0,39,8,69,38,10,5,33,28,28,18,14,14,73,28,105,71,2,2,9,7,2,1,2,2,,3622,http://www.ufcstats.com/fight-details/4915c8a588513c22,http://www.ufcstats.com/event-details/a16ce18149021139
2900,2800,Jonathan Pearce,David Onama,Featherweight,0,0,129,57,104,58,165,87,115,66,14,5,1,0,1,1,1,5,289.0,135.0,102,37,94,50,19,13,8,6,8,7,2,2,114,44,99,54,1,1,5,4,14,12,0,0,,2800,http://www.ufcstats.com/fight-details/7ca5604d99220e88,http://www.ufcstats.com/event-details/a16ce18149021139
2420,2425,Tim Means,Uros Medic,Welterweight,0,1,17,7,12,7,21,10,16,11,3,0,1,0,0,0,0,0,78.0,4.0,10,1,10,5,6,5,1,1,1,1,1,1,14,5,9,5,3,2,2,1,0,0,1,1,,2425,http://www.ufcstats.com/fight-details/6ea77cb62aa2f276,http://www.ufcstats.com/event-details/a16ce18149021139
2371,2231,Don'Tale Mayes,Caio Machado,Heavyweight,1,0,183,67,159,76,190,73,160,77,0,0,0,0,0,0,0,0,36.0,0.0,140,42,103,33,29,18,33,25,14,7,23,18,181,67,158,75,1,0,1,1,1,0,0,0,,2371,http://www.ufcstats.com/fight-details/417049c7a3d65ccc,http://www.ufcstats.com/event-details/a16ce18149021139
4184,2180,Sodiq Yusuff,Diego Lopes,Featherweight,0,2,5,2,32,26,5,2,35,29,0,0,0,0,0,0,0,0,0.0,34.0,1,1,27,21,0,0,2,2,4,1,3,3,5,2,4,3,0,0,7,5,0,0,21,18,,2180,http://www.ufcstats.com/fight-details/538ca98010ed00ec,http://www.ufcstats.com/event-details/6750e338922a099d
1143,1264,Deiveson Figueiredo,Cody Garbrandt,Bantamweight,0,0,19,13,31,16,27,21,33,18,5,1,0,0,2,0,0,0,223.0,2.0,14,9,19,6,3,2,1,0,2,2,11,10,13,8,31,16,3,2,0,0,3,3,0,0,,1143,http://www.ufcstats.com/fight-details/3ab0d8b344d2ebea,http://www.ufcstats.com/event-details/6750e338922a099d
1239,1616,Justin Gaethje,Max Holloway,Lightweight,0,1,199,103,309,181,199,103,309,181,0,0,0,0,0,0,0,0,0.0,0.0,121,44,149,62,42,26,91,62,36,33,69,57,199,103,308,181,0,0,1,0,0,0,0,0,,1616,http://www.ufcstats.com/fight-details/cf5e8f98159c3971,http://www.ufcstats.com/event-details/6750e338922a099d
2780,3862,Charles Oliveira,Arman Tsarukyan,Lightweight,0,0,37,19,83,49,53,33,117,75,0,0,4,2,4,0,1,1,152.0,521.0,22,11,69,37,9,5,11,10,6,3,3,2,24,7,50,23,6,6,4,3,7,6,29,23,,3862,http://www.ufcstats.com/fight-details/01f7c28804746979,http://www.ufcstats.com/event-details/6750e338922a099d
4006,483,Valter Walker,Lukasz Brzeski,Heavyweight,0,0,67,33,102,58,101,56,200,135,5,4,0,0,0,0,1,1,439.0,43.0,50,19,70,27,8,6,17,16,9,8,15,15,53,23,96,55,5,2,6,3,9,8,0,0,,483,http://www.ufcstats.com/fight-details/ff5a8078ea85bbc7,http://www.ufcstats.com/event-details/899eaba48fa864a6
639,2302,Morgan Charriere,Chepe Mariscal,Featherweight,0,0,104,49,137,71,139,75,199,121,5,2,8,1,1,0,1,1,222.0,218.0,83,30,94,42,17,16,19,10,4,3,24,19,98,45,110,50,6,4,17,12,0,0,10,9,,2302,http://www.ufcstats.com/fight-details/32375b4435fea5e6,http://www.ufcstats.com/event-details/899eaba48fa864a6
990,869,Norma Dumont,Germaine de Randamie,Bantamweight,0,0,29,11,33,16,76,49,126,91,8,6,0,0,0,0,0,0,604.0,141.0,21,6,21,7,7,5,8,7,1,0,4,2,20,4,24,8,6,5,9,8,3,2,0,0,,990,http://www.ufcstats.com/fight-details/188e6416157e5a1f,http://www.ufcstats.com/event-details/899eaba48fa864a6
490,96,Dylan Budka,Cesar Almeida,Middleweight,0,0,5,1,38,29,11,6,101,87,6,3,0,0,0,0,0,0,353.0,12.0,4,0,29,21,1,1,8,7,0,0,1,1,5,1,11,7,0,0,21,19,0,0,6,3,,96,http://www.ufcstats.com/fight-details/3cf5e0ebb5f8322c,http://www.ufcstats.com/event-details/899eaba48fa864a6
2398,2576,Court McGee,Alex Morono,Welterweight,0,0,160,60,141,38,184,78,149,42,6,1,0,0,0,1,0,0,200.0,0.0,73,14,118,26,55,29,18,9,32,17,5,3,148,52,139,38,1,0,2,0,11,8,0,0,,2576,http://www.ufcstats.com/fight-details/0b9cd718d7e329e8,http://www.ufcstats.com/event-details/899eaba48fa864a6
1571,1732,Alexander Hernandez,Damon Jackson,Featherweight,1,0,87,32,85,42,119,56,135,85,0,0,7,3,0,0,0,0,142.0,378.0,69,20,60,20,11,6,12,10,7,6,13,12,80,29,68,30,3,0,16,11,4,3,1,1,,1732,http://www.ufcstats.com/fight-details/9c22ddb8d8fc1838,http://www.ufcstats.com/event-details/899eaba48fa864a6
73,2683,Bill Algeo,Kyle Nelson,Featherweight,0,0,58,30,59,32,73,44,68,40,0,0,0,0,0,0,0,0,0.0,48.0,34,11,45,20,11,11,8,6,13,8,6,6,55,30,52,28,3,0,6,4,0,0,1,0,900.0,2683,http://www.ufcstats.com/fight-details/91aa08e910fb4412,http://www.ufcstats.com/event-details/dba230fe33011201
364,1157,Erin Blanchfield,Manon Fiorot,Flyweight,0,0,386,130,359,172,394,135,369,181,3,0,4,1,1,0,0,0,48.0,53.0,318,80,321,143,40,25,25,18,28,25,13,11,371,124,346,167,15,6,13,5,0,0,0,0,1500.0,1157,http://www.ufcstats.com/fight-details/e6d4fdad2b3422d1,http://www.ufcstats.com/event-details/dba230fe33011201
